Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18-30,Male,Junior high school,Above 10yr,Public (12 seats),2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury
18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Other,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
Unknown,Female,Elementary school,5-10yr,Public (> 45 seats),Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,1,Going straight,Pedestrian,Male,31-50,3,,,Unknown or other,Changing lane to the right,Serious Injury
31-50,Male,,Below 1yr,Automobile,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,5-10yr,Public (> 45 seats),,No defect,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Earth roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,18-30,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
Over 51,Male,Elementary school,5-10yr,Other,1-2yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - no lighting,Normal,Collision with roadside objects,2,3,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,5-10yr,Automobile,,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,Serious Injury
Over 51,Male,Junior high school,2-5yr,Pick up upto 10Q,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Female,31-50,3,,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Serious Injury
Under 18,Male,,5-10yr,Stationwagen,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,2,4,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
18-30,Male,Junior high school,1-2yr,Public (12 seats),,No defect,Office areas,,Tangent road with flat terrain,,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,2,Going straight,Pedestrian,Female,18-30,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Serious Injury
18-30,Female,Junior high school,Above 10yr,,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,O Shape,,Dry,Daylight,Normal,Collision with pedestrians,3,2,Going straight,Pedestrian,Female,5,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Unknown,Junior high school,5-10yr,,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Above 10yr,Public (12 seats),Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,Female,Over 51,2,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
18-30,Male,High school,5-10yr,Public (12 seats),Above 10yr,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
31-50,Male,Junior high school,5-10yr,Pick up upto 10Q,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Male,31-50,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
31-50,Male,Elementary school,Above 10yr,Stationwagen,Unknown,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Pedestrian,Female,Under 18,3,Self-employed,Normal,Crossing from driver's nearside,No distancing,Slight Injury
Over 51,Male,Junior high school,1-2yr,Public (> 45 seats),Unknown,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Fall from vehicles,2,2,Going straight,Pedestrian,Female,31-50,2,Student,Normal,"Walking along in carriageway, facing traffic",Driving under the influence of drugs,Slight Injury
18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,2-5yrs,,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Pedestrian,Female,Under 18,3,,,Unknown or other,No distancing,Slight Injury
31-50,Male,Junior high school,5-10yr,Other,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
Under 18,Male,Junior high school,2-5yr,Automobile,,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,4,Going straight,Pedestrian,Male,31-50,3,,,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury
31-50,Male,High school,5-10yr,Public (12 seats),2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Rollover,2,2,Going straight,Pedestrian,Male,Under 18,3,,,Unknown or other,No distancing,Slight Injury
18-30,Male,Junior high school,1-2yr,Lorry (11?40Q),Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,Under 18,1,Other,Normal,Unknown or other,Driving carelessly,Slight Injury
18-30,Unknown,Junior high school,1-2yr,Lorry (41?100Q),1-2yr,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,Under 18,3,,,Unknown or other,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Above 10yr,Automobile,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Pedestrian,Male,18-30,3,,,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Getting off the vehicle improperly,Slight Injury
31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Unknown,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,6,Going straight,Pedestrian,Female,18-30,2,,,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Overspeed,Slight Injury
Over 51,Male,Junior high school,Below 1yr,Public (12 seats),2-5yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Pedestrian,Male,Under 18,2,Other,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the right,Slight Injury
18-30,Male,Junior high school,2-5yr,Public (13?45 seats),,,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Male,Under 18,3,,,Unknown or other,No distancing,Slight Injury
Over 51,Male,Junior high school,Below 1yr,Motorcycle,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Pedestrian,Male,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,Slight Injury
Over 51,Male,Junior high school,2-5yr,Automobile,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,Over 51,1,Employee,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Serious Injury
Over 51,Male,Junior high school,2-5yr,Motorcycle,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,31-50,3,Self-employed,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",No priority to pedestrian,Slight Injury
Under 18,Male,Junior high school,Above 10yr,Public (12 seats),Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,Under 18,2,Self-employed,Normal,Unknown or other,Changing lane to the left,Slight Injury
18-30,Unknown,Junior high school,,,Unknown,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Other,2,1,Going straight,Pedestrian,Female,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Above 10yr,Lorry (11?40Q),Unknown,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,Under 18,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
Over 51,Male,Junior high school,5-10yr,Public (13?45 seats),,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
Unknown,Male,High school,5-10yr,Automobile,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Male,Under 18,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Serious Injury
31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving under the influence of drugs,Slight Injury
18-30,Male,Above high school,2-5yr,Automobile,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Male,Under 18,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
Over 51,Male,Junior high school,Below 1yr,Automobile,2-5yrs,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
31-50,Female,Junior high school,2-5yr,Long lorry,Unknown,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Above high school,Above 10yr,Motorcycle,Above 10yr,, Industrial areas,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,3,Going straight,Pedestrian,Female,Over 51,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Turnover,Slight Injury
31-50,Male,High school,2-5yr,Lorry (41?100Q),Unknown,,,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,Under 18,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Serious Injury
Unknown,Female,High school,2-5yr,Other,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Pedestrian,Male,Over 51,2,,,Unknown or other,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Below 1yr,Other,,, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,Over 51,3,Driver,Normal,Unknown or other,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,,2,2,Going straight,Pedestrian,Male,31-50,3,,,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Moving Backward,Slight Injury
18-30,Male,High school,2-5yr,,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Other,Slight Injury
